16707,1271,673,14,733
16749,1268,678,28,749
16791,1263,685,31,713
16834,1259,686,108,707
16876,1257,679,7,701
16918,1249,704,8,712
16960,1246,668,5,679
17003,1243,677,5,706
17045,1239,689,65,714
17087,1234,683,8,707
17129,1227,686,27,709
17172,1224,676,0,728
17214,1223,682,40,709
17256,1215,668,100,678
17298,1210,673,79,711
17341,1207,680,64,752
17383,1207,686,83,711
17425,1196,695,196,744
17468,1192,701,143,711
17510,1189,688,146,708
17552,1188,662,67,677
17594,1183,682,192,705
17637,1179,676,57,709
17679,-29009,675,44,703
17721,1165,691,98,752
17764,1155,678,40,736
17806,1156,682,87,707
17848,1151,696,153,684
17891,1145,691,229,707
17933,1141,685,195,707
17975,1134,687,233,703
18017,1135,686,247,710
18060,1125,682,239,706
18102,1125,682,224,736
18144,1116,696,273,691
18187,1114,680,223,706
18229,1109,681,235,706
18271,1104,679,219,703
18314,1095,680,175,710
18356,1093,677,195,701
18399,1089,687,247,718
18441,1084,712,215,689
18483,1083,687,231,712
18525,1076,685,240,736
18568,1071,676,146,711
18610,1065,684,222,709
18652,1063,680,259,699
18695,1057,687,269,715
18737,1052,664,203,684
18779,1049,681,266,708
18822,1045,689,235,709
18864,1038,696,115,709
18907,1035,695,239,713
18949,1028,683,256,768
18991,1024,687,239,733
19034,1019,655,70,679
19076,1017,679,219,705
19118,1011,687,252,713
19160,1010,684,224,708
19203,1007,687,253,707
19245,1000,697,234,713
19287,998,695,286,731
19330,991,667,240,704
19372,987,704,264,707
19414,981,709,267,714
19457,980,693,256,710
19499,975,697,250,710
19540,973,693,283,709
19582,968,681,216,736
19625,962,665,261,676
19667,959,674,244,704
19709,954,681,243,710
19751,949,677,223,704
19794,947,684,240,752
19836,940,683,256,748
19878,939,683,252,708
19921,933,692,261,680
19963,928,704,259,708
20005,923,693,249,709
20047,915,690,269,705
20090,911,685,256,709
20132,905,683,268,707
20174,900,682,231,709
20216,897,668,241,680
20259,890,696,249,708
20301,885,687,271,710
20343,880,680,258,772
20386,875,683,242,746
20428,872,679,252,701
20470,866,705,275,712
20512,859,712,257,688
20555,858,687,269,714
20597,858,686,257,729
20639,850,685,257,705
20681,847,684,255,709
